Yksi,1
Kaksi,2
Kolme,3
Neljä,4
Viisi,5
Kuusi,6
Seitsemän,7
Kahdeksan,8
Yhdeksän,9
Kymmenen,10
Yksitoista,11
Kaksitoista,12
Kolmetoista,13
Neljätoista,14
Viisitoista,15
Kuusitoista,16
Seitsemäntoista,17
Kahdeksantoista,18
Yhdeksäntoista,19
Kaksikymmentä,20
Kaksikymmentäyksi,21
Kaksikymmentäkaksi,22
Kaksikymmentäkolme,23
Kaksikymmentäneljä,24
Kaksikymmentäviisi,25
Kaksikymmentäkuusi,26
Kaksikymmentäseitsemän,27
Kaksikymmentäkahdeksan,28
Kaksikymmentäyhdeksän,29
Kolmekymmentä,30
Kolmekymmentäyksi,31
Kolmekymmentäkaksi,32
Kolmekymmentäkolme,33
Kolmekymmentäneljä,34
Kolmekymmentäviisi,35
Kolmekymmentäkuusi,36
Kolmekymmentäseitsemän,37
Kolmekymmentäkahdeksan,38
Kolmekymmentäyhdeksän,39
Neljäkymmentä,40
Neljäkymmentäyksi,41
Neljäkymmentäkaksi,42
Neljäkymmentäkolme,43
Neljäkymmentäneljä,44
Neljäkymmentäviisi,45
Neljäkymmentäkuusi,46
Neljäkymmentäseitsemän,47
Neljäkymmentäkahdeksan,48
Neljäkymmentäyhdeksän,49
Viisikymmentä,50
Viisikymmentäyksi,51
Viisikymmentäkaksi,52
Viisikymmentäkolme,53
Viisikymmentäneljä,54
Viisikymmentäviisi,55
Viisikymmentäkuusi,56
Viisikymmentäseitsemän,57
Viisikymmentäkahdeksan,58
Viisikymmentäyhdeksän,59
Kuusikymmentä,60
Kuusikymmentäyksi,61
Kuusikymmentäkaksi,62
Kuusikymmentäkolme,63
Kuusikymmentäneljä,64
Kuusikymmentäviisi,65
Kuusikymmentäkuusi,66
Kuusikymmentäseitsemän,67
Kuusikymmentäkahdeksan,68
Kuusikymmentäyhdeksän,69
Seitsemänkymmentä,70
Seitsemänkymmentäyksi,71
Seitsemänkymmentäkaksi,72
Seitsemänkymmentäkolme,73
Seitsemänkymmentäneljä,74
Seitsemänkymmentäviisi,75
Seitsemänkymmentäkuusi,76
Seitsemänkymmentäseitsemän,77
Seitsemänkymmentäkahdeksan,78
Seitsemänkymmentäyhdeksän,79
Kahdeksankymmentä,80
Kahdeksankymmentäyksi,81
Kahdeksankymmentäkaksi,82
Kahdeksankymmentäkolme,83
Kahdeksankymmentäneljä,84
Kahdeksankymmentäviisi,85
Kahdeksankymmentäkuusi,86
Kahdeksankymmentäseitsemän,87
Kahdeksankymmentäkahdeksan,88
Kahdeksankymmentäyhdeksän,89
Yhdeksänkymmentä,90
Yhdeksänkymmentäyksi,91
Yhdeksänkymmentäkaksi,92
Yhdeksänkymmentäkolme,93
Yhdeksänkymmentäneljä,94
Yhdeksänkymmentäviisi,95
Yhdeksänkymmentäkuusi,96
Yhdeksänkymmentäseitsemän,97
Yhdeksänkymmentäkahdeksan,98
Yhdeksänkymmentäyhdeksän,99
Sata,100
